Geracao,MelhorDistancia
0,10196544.00
1,9829117.00
2,9294671.00
3,8980814.00
4,8589353.00
5,8589353.00
6,8493099.00
7,8424346.00
8,8114017.50
9,8086688.50
10,7770685.00
11,7726049.50
12,7476037.00
13,7375927.50
14,7375927.50
15,7322073.00
16,7298610.50
17,7168476.00
18,7085453.50
19,6896314.00
20,6851621.00
21,6685974.00
22,6530305.00
23,6457021.00
24,6457021.00
25,6259751.50
26,6054068.50
27,6046442.00
28,6046442.00
29,5908825.00
30,5707174.50
31,5430194.00
32,5430194.00
33,5023019.50
34,5023019.50
35,5023019.50
36,5023019.50
37,5023019.50
38,5005013.00
39,5005013.00
40,4878731.50
41,4878731.50
42,4878731.50
43,4878731.50
44,4878731.50
45,4878731.50
46,4858951.00
47,4858951.00
48,4799565.50
49,4799565.50
50,4799565.50
51,4799565.50
52,4727073.00
53,4679292.00
54,4679292.00
55,4659486.50
56,4659486.50
57,4659486.50
58,4659486.50
59,4623988.00
60,4582996.50
61,4524578.00
62,4455060.50
63,4455060.50
64,4455060.50
65,4455060.50
66,4455060.50
67,4455060.50
68,4455060.50
69,4455060.50
70,4391523.50
71,4391523.50
72,4391523.50
73,4071513.75
74,4071513.75
75,4071513.75
76,4071513.75
77,4071513.75
78,4071513.75
79,4071513.75
80,4071513.75
81,4049822.50
82,4049822.50
83,4049822.50
84,4049822.50
85,4049822.50
86,4049822.50
87,4029902.00
88,3894106.00
89,3894106.00
90,3894106.00
91,3894106.00
92,3894106.00
93,3894106.00
94,3894106.00
95,3894106.00
96,3894106.00
97,3894106.00
98,3840126.00
99,3840126.00
100,3838800.00
101,3838800.00
102,3838800.00
103,3757593.25
104,3757593.25
105,3757593.25
106,3757593.25
107,3756944.25
108,3570272.50
109,3570272.50
110,3561864.25
111,3561864.25
112,3561864.25
113,3561864.25
114,3561864.25
115,3561864.25
116,3386634.75
117,3386634.75
118,3386634.75
119,3386634.75
120,3386634.75
121,3386634.75
122,3364697.25
123,3349840.50
124,3349840.50
125,3150205.50
126,3150205.50
127,3150205.50
128,3150205.50
129,3150205.50
130,3150205.50
131,3150205.50
132,3097583.50
133,3097583.50
134,3097583.50
135,3097583.50
136,3097583.50
137,3097583.50
138,3097583.50
139,3097583.50
140,3097583.50
141,3097583.50
142,3097583.50
143,3097583.50
144,3097583.50
145,3079183.00
146,3043842.75
147,3043842.75
148,3002545.75
149,3002545.75
150,3002545.75
151,3002545.75
152,3002545.75
153,3002545.75
154,3002545.75
155,3002545.75
156,3002545.75
157,2880957.50
158,2880957.50
159,2880957.50
160,2880957.50
161,2880957.50
162,2880957.50
163,2880957.50
164,2880957.25
165,2880957.00
166,2880957.00
167,2880957.00
168,2880957.00
169,2880957.00
170,2867548.25
171,2867548.25
172,2867548.25
173,2867548.25
174,2867548.25
175,2840060.25
176,2840060.25
177,2840060.25
178,2840060.25
179,2840060.25
180,2826099.50
181,2826099.50
182,2826099.50
183,2826099.50
184,2826099.50
185,2826099.50
186,2826099.50
187,2826099.50
188,2826099.50
189,2826099.50
190,2826099.50
191,2826099.50
192,2826074.50
193,2826074.50
194,2800186.00
195,2800186.00
196,2732241.50
197,2732241.50
198,2732241.50
199,2732241.50
200,2732241.50
201,2732241.50
202,2732241.50
203,2732241.50
204,2732241.50
205,2732241.50
206,2732241.50
207,2732241.50
208,2732241.50
209,2732241.50
210,2732241.50
211,2732241.50
212,2732241.50
213,2732241.50
214,2732241.50
215,2732241.50
216,2654252.50
217,2654252.50
218,2654252.50
219,2654252.50
220,2612615.25
221,2612615.25
222,2586795.75
223,2586795.75
224,2586795.75
225,2586795.75
226,2586795.75
227,2586795.75
228,2586795.75
229,2586795.75
230,2586795.75
231,2586795.75
232,2586795.75
233,2560084.75
234,2560084.75
235,2560084.75
236,2560084.75
237,2560084.75
238,2560084.75
239,2560084.75
240,2560084.75
241,2560084.75
242,2547132.75
243,2547132.75
244,2547132.75
245,2512601.75
246,2512601.75
247,2512601.75
248,2512601.75
249,2512601.75
250,2512601.75
251,2504695.25
252,2504695.25
253,2504695.25
254,2504695.25
255,2477636.50
256,2477636.50
257,2477636.50
258,2446655.50
259,2446655.50
260,2446655.50
261,2446655.50
262,2446655.50
263,2446655.50
264,2446655.50
265,2446655.50
266,2446655.50
267,2424892.50
268,2424892.50
269,2424892.50
270,2424892.50
271,2424892.50
272,2415294.25
273,2410259.50
274,2405480.25
275,2405480.25
276,2405480.25
277,2405480.25
278,2405480.25
279,2405479.00
280,2405479.00
281,2405479.00
282,2405479.00
283,2405479.00
284,2405479.00
285,2405479.00
286,2405479.00
287,2405479.00
288,2405479.00
289,2405479.00
290,2405479.00
291,2405479.00
292,2405479.00
293,2405479.00
294,2405479.00
295,2405479.00
296,2405479.00
297,2405479.00
298,2405479.00
299,2401504.00
300,2401504.00
301,2401504.00
302,2401504.00
303,2401504.00
304,2401504.00
